date,payems,gdpc1,cpiaucsl,dgorder,hsn1f,rsafs,unrate,houst,indpro,dspic96,boptexp,boptimp,whlslrimsa,ttlcons,ir,cpilfesl,pcepilfe,pcepi,permit,tcu,businv,ulcnfb,iq,a261rx1q020sbea
2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-01,153548,NA,298.349,270644,640,689443,3.7,1427,104.5175,15157.7,NA,NA,NA,1807505,141.6,300.066,125.143,124.747,1351,79.6587,NA,NA,155.8,NA
2022-10-01,153285,NA,298.062,276419,605,693482,3.7,1434,104.7474,15118.4,256631,334793,923777,1803208,142.5,299.471,124.933,124.617,1512,79.9201,2468304,NA,156.2,NA
2022-09-01,153001,20054.663,296.761,274399,559,684538,3.5,1465,104.8129,15065.7,258512,332640,918942,1807497,143.1,298.66,124.607,124.154,1564,80.0633,2461135,126.603,156.8,20148.828
2022-08-01,152732,NA,295.62,273841,646,685685,3.7,1508,104.4135,15062.9,261692,327462,913474,1797771,144.6,296.95,124.031,123.728,1542,79.8588,2455035,NA,158.3,NA
2022-07-01,152440,NA,295.271,273203,543,681108,3.5,1377,104.4852,15049.1,260859,331559,900964,1817862,146.4,295.275,123.352,123.397,1685,80.0234,2433047,NA,160.5,NA
2022-06-01,151903,19895.271,295.328,273571,571,684084,3.6,1575,103.9464,14973.1,260486,341210,895439,1803791,148.5,294.354,123.258,123.512,1696,79.7281,2420090,125.859,166.7,20107.48
2022-05-01,151610,NA,291.474,267533,636,677115,3.6,1562,104.1646,15036.4,256083,341790,879642,1793778,148.2,292.289,122.488,122.3,1695,80.0198,2386601,NA,164.9,NA
2022-04-01,151224,NA,288.663,265376,619,674719,3.6,1805,104.2709,15055.2,252399,339572,862896,1780890,147.5,290.455,122.03,121.563,1823,80.2284,2348268,NA,160.6,NA
2022-03-01,150856,19924.088,287.708,264258,707,669958,3.6,1716,103.5717,15064.1,244230,351148,843644,1768168,146.8,288.811,121.651,121.321,1879,79.8154,2317441,123.847,159,20147.177
2022-02-01,150458,NA,284.182,262494,790,662321,3.8,1777,102.8987,15125.6,232733,320531,821111,1753123,142.6,287.878,121.205,120.178,1857,79.4145,2263268,NA,153,NA
2022-01-01,149744,NA,281.933,264356,831,651557,4,1666,102.146,15137.7,227765,315800,798566,1726585,140.1,286.431,120.761,119.469,1841,78.9421,2224580,NA,148.2,NA
2021-12-01,149240,20006.181,280.126,256464,839,634393,3.9,1768,101.7587,15483.6,232437,311304,789049,1681044,137.4,284.77,120.193,118.841,1896,78.7416,2197539,121.338,144.2,20108.233
2021-11-01,148652,NA,278.524,254074,756,647516,4.2,1706,101.961,15543.5,228145,306122,770056,1665191,137.9,283.179,119.543,118.2,1729,78.9808,2148625,NA,146.5,NA
2021-10-01,148005,NA,276.59,250503,671,640524,4.6,1563,101.3602,15584.9,225898,294053,757936,1644332,136.9,281.705,118.929,117.479,1698,78.5784,2118663,NA,145.5,NA
2021-09-01,147328,19672.594,274.214,246849,732,631563,4.7,1559,99.8498,15580.2,211618,289952,740072,1632860,134.9,280.017,118.446,116.808,1615,77.4469,2092460,120.264,142.8,19784.132
2021-08-01,146904,NA,273.092,250577,686,624963,5.2,1576,100.837,15802.4,215841,287267,729988,1641600,134.3,279.306,118.199,116.444,1772,78.2262,2074782,NA,142.4,NA
